accession	description
CP004243.1	Borrelia miyamotoi FR64b plasmid plasmid_26 genomic sequence
CP004244.1	Borrelia miyamotoi FR64b plasmid plasmid_27 genomic sequence
CP004250.1	Borrelia miyamotoi FR64b plasmid plasmid_33 genomic sequence
CP004256.1	Borrelia miyamotoi FR64b plasmid plasmid_39 genomic sequence
CP010328.2	Borrelia miyamotoi LB-2001 plasmid lpB sequence
CP036927.1	Borrelia miyamotoi strain Yekat-21 plasmid unnamed
KF031441.1	Borrelia miyamotoi plasmid variable small protein 1 (vsp1) gene, complete cds
KF031442.1	Borrelia miyamotoi plasmid variable large protein 2 (vlp2) gene, partial cds; and variable large protein 1 (vlp1) gene, complete cds
KR869094.1	Borrelia miyamotoi strain LB-2001 plasmid lpD, partial sequence
KR919748.1	Borrelia miyamotoi strain LB-2001 plasmid lpC, partial sequence
KT355574.1	Borrelia miyamotoi LB-2001 plasmid cpD, complete sequence
KU041636.1	Borrelia miyamotoi strain LB-2001 plasmid lpE, partial sequence
LAOK01000001.1	Rickettsia parkeri str. Grand Bay rgb.contig.0_1, whole genome shotgun sequence
NC_000948.1	Borreliella burgdorferi B31 plasmid cp32-1, complete sequence
NC_000949.1	Borreliella burgdorferi B31 plasmid cp32-3, complete sequence
NC_000950.1	Borreliella burgdorferi B31 plasmid cp32-4, complete sequence
NC_000951.1	Borreliella burgdorferi B31 plasmid cp32-6, complete sequence
NC_000952.1	Borreliella burgdorferi B31 plasmid cp32-7, complete sequence
NC_000953.1	Borreliella burgdorferi B31 plasmid cp32-8, complete sequence
NC_000954.1	Borreliella burgdorferi B31 plasmid cp32-9, complete sequence
NC_000955.2	Borreliella burgdorferi B31 plasmid lp21, complete sequence
NC_000956.1	Borreliella burgdorferi B31 plasmid lp56, complete sequence
NC_000957.1	Borreliella burgdorferi B31 plasmid lp5, complete sequence
NC_001318.1	Borreliella burgdorferi B31, complete sequence
NC_001849.2	Borreliella burgdorferi B31 plasmid lp17, complete sequence
NC_001850.1	Borreliella burgdorferi B31 plasmid lp25, complete sequence
NC_001851.2	Borreliella burgdorferi B31 plasmid lp28-1, complete sequence
NC_001852.1	Borreliella burgdorferi B31 plasmid lp28-2, complete sequence
NC_001853.1	Borreliella burgdorferi B31 plasmid lp28-3, complete sequence
NC_001854.1	Borreliella burgdorferi B31 plasmid lp28-4, complete sequence
NC_001855.1	Borreliella burgdorferi B31 plasmid lp36, complete sequence
NC_001856.1	Borreliella burgdorferi B31 plasmid lp38, complete sequence
NC_001857.2	Borreliella burgdorferi B31 plasmid lp54, complete sequence
NC_001903.1	Borreliella burgdorferi B31 plasmid cp26, complete sequence
NC_001904.1	Borreliella burgdorferi B31 plasmid cp9, complete sequence
NC_016915.1	Rickettsia rickettsii str. Hlp#2, complete sequence
NC_021880.1	Anaplasma phagocytophilum str. JM, complete sequence
NC_022079.2	Borrelia miyamotoi LB-2001, complete sequence
NC_027205.1	Babesia microti strain RI chromosome I, complete genome
NC_027206.1	Babesia microti strain RI chromosome II, complete genome
NC_027207.2	Babesia microti strain RI chromosome III, complete genome
NC_034969.1	Babesia microti strain RI chromosome IV, complete genome
NZ_CP007480.1	Ehrlichia chaffeensis str. West Paces chromosome, complete genome
NZ_CP020742.1	Bartonella henselae strain Houston-I chromosome, complete genome
EF116932.1	Ehrlichia ewingii hypothetical translational regulator gene, partial cds; major outer membrane omp-1 gene cluster, complete sequence; and SecA (secA) gene, partial cds
